Molecule ChEMBL ID;Smiles;IC50_nM;Activity_status
CHEMBL5405991;O=C(N[C@H]1CC[C@H](O)CC1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;37;Active
CHEMBL1082348;CO[C@H]1C[C@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;37;Active
CHEMBL5399745;CC(C)(C)OC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;37;Active
CHEMBL3330057;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccc(Cl)cc1Cl;40;Active
CHEMBL5437013;O=C(NCc1ccccc1)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;40;Active
CHEMBL2063039;N[C@@H](CCCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O;40;Active
CHEMBL5431284;O=C(CNC12CC3CC(C1)CC(NC(=O)C14CC5CC(CC(C5)C1)C4)(C3)C2)N1Cc2ccc(F)cc2C1;40;Active
CHEMBL1929390;Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(O)n2n1.Cl;45;Active
CHEMBL5408720;O=C(NC(c1ccc(F)cc1)c1ccc(F)cc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;48;Active
CHEMBL5401877;O=C(NCc1ccc(F)cc1F)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;48;Active
CHEMBL5403872;CC(C)(C)NC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;50;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;50;Active
CHEMBL362018;N#C[C@@H]1CCCN1C(=O)[C@@H](N)CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1;53;Active
CHEMBL1814633;N[C@@H](CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1;53;Active
CHEMBL1929393;Cc1nc2cc(C(C)(C)C)nn2c(C)c1C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N.Cl;53;Active
CHEMBL5402025;O=C(CNC12CC3CC(C1)CC(NCC(=O)N1Cc4ccccc4C1)(C3)C2)N1Cc2ccccc2C1;55;Active
CHEMBL1929387;Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1.Cl;60;Active
CHEMBL5423126;NCCNC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;60;Active
CHEMBL1929388;Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(C)n2n1.Cl;64;Active
CHEMBL194249;CCCC[C@@H](NC(=O)[C@@H](N)CCCC)B(O)O;65;Active
CHEMBL1929391;Cc1c(C(=O)NCC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cnc2cc(C(C)(C)C)nn12.Cl;66;Active
CHEMBL481669;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c(Cl)c1;66;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;66;Active
CHEMBL237119;CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1;69;Active
CHEMBL5404995;O=C(NCc1ccccc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;70;Active
CHEMBL502153;CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccc(F)cc2C1;70;Active
CHEMBL5399390;Cl.Cl.NC12CC3CC(C1)CC(NC(=O)OC14CC5CC(CC(NCC(=O)N6Cc7ccccc7C6)(C5)C1)C4)(C3)C2;71;Active
CHEMBL539187;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)c1ccccc1)Cc1ccccc1F;80;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;80;Active
CHEMBL1929389;Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(C(F)(F)F)n2n1.Cl;81;Active
CHEMBL518144;N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)[C@@H](N)CCCCN(c1cccc2ccccc12)c1cccc2ccccc12;82;Active
CHEMBL2063030;N[C@@H](CCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O;86;Active
CHEMBL237336;C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1;86;Active
CHEMBL481466;N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)[C@@H](N)CCCCN(c1ccc2ccccc2c1)c1ccc2ccccc2c1;88;Active
CHEMBL1243372;N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O;89;Active
CHEMBL5438110;O=C(NCc1ccncc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;90;Active
CHEMBL2063034;O=C([C@@H]1CCCN1)N1C[C@H](O)C[C@H]1B(O)O;98;Active
CHEMBL67089;NCC(=O)N1CCC[C@H]1B(O)O;98;Active
CHEMBL561322;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)c1ccccc1)Cc1cccc(Cl)c1;100;Active
CHEMBL456419;CC1(NCC(=O)N2C[C@H](F)C[C@@H]2C#N)CCN(S(C)(=O)=O)CC1;100;Active
CHEMBL5422425;O=C(NCCCc1ccccc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;100;Active
CHEMBL385517;N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2;100;Active
CHEMBL385517;N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2;104;Active
CHEMBL2058971;O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1;105;Active
CHEMBL241253;N#Cc1ccc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)nc1;110;Active
CHEMBL461912;N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN;118;Active
CHEMBL479538;N#Cc1c(Cl)cccc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;119;Active
CHEMBL3330050;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccccc1Cl;120;Active
CHEMBL5423199;O=C(NCc1ccccn1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;120;Active
CHEMBL5431503;[N-]=[N+]=NCCCNC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;120;Active
CHEMBL2063025;C[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O;125;Active
CHEMBL481288;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c(C(F)(F)F)c1;130;Active
CHEMBL5438329;CCCCNC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;130;Active
CHEMBL479381;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c(F)c1;131;Active
CHEMBL3330054;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccc(I)cc1;140;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;140;Active
CHEMBL5408398;O=C(NC12CC3CC(CC(C3)C1)C2)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;150;Active
CHEMBL196180;CCCC[C@@H](NC(=O)[C@@H](N)CCC)B(O)O;160;Active
CHEMBL5400483;O=C(NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2)OCC1c2ccccc2-c2ccccc21;160;Active
CHEMBL505629;N[C@@H](CCCCNC(=O)OCc1ccc([N+](=O)[O-])cc1)C(=O)N1CCCC1;168;Active
CHEMBL481177;N#Cc1cccc(F)c1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;169;Active
CHEMBL487872;N[C@@H](CCCCNc1ccc2ccccc2c1)C(=O)N1Cc2ccccc2C1;169;Active
CHEMBL5426720;CC(C)(C)NC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;169;Active
CHEMBL3330049;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccccc1;170;Active
CHEMBL5394582;O=C(NC12CC3CC(CC(O)(C3)C1)C2)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2.O=CO;170;Active
CHEMBL2063027;C[C@H](N)C(=O)N1CC(=O)C[C@H]1B(O)O;180;Active
CHEMBL5438345;N#Cc1cccc(CNC23CC4CC(CC(NCC(=O)N5Cc6ccccc6C5)(C4)C2)C3)c1;190;Active
CHEMBL3330053;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccc(F)cc1;190;Active
CHEMBL5438620;O=C(CNC12CC3CC(C1)CC(NC(=O)C14CC5CC(CC(C5)C1)C4)(C3)C2)N1Cc2ccccc2C1;190;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;200;Active
CHEMBL5439059;NCCCCNC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;200;Active
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;200;Active
CHEMBL5438248;O=C(NCCc1ccccc1)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;200;Active
CHEMBL2063036;O=C([C@@H]1C[C@@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O;200;Active
CHEMBL520200;N[C@@H](CCCCNCc1ccccc1)C(=O)N1Cc2ccccc2C1;200;Active
CHEMBL5431471;O=C(NCCCCO)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;200;Active
CHEMBL471544;N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCCNC(=O)OCc1ccccc1;212;Inactive
CHEMBL195271;CCCC[C@@H](NC(=O)[C@@H](N)CC)B(O)O;220;Inactive
CHEMBL3330058;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccc(Cl)c(Cl)c1;230;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;230;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;230;Inactive
CHEMBL2063038;O=C([C@@H]1C[C@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O;240;Inactive
CHEMBL397070;CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1;240;Inactive
CHEMBL5433274;NC12CC3CC(C1)CC(NCC(=O)N1Cc4ccc(F)cc4C1)(C3)C2;260;Inactive
CHEMBL2418633;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1;260;Inactive
CHEMBL2418627;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccccc3Cl)nn2)cc1;280;Inactive
CHEMBL194517;CCCC[C@@H](NC(=O)[C@@H](N)CCCCN)B(O)O;280;Inactive
CHEMBL397070;CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1;290;Inactive
CHEMBL397070;CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1;290;Inactive
CHEMBL2418630;COc1cccc(Cn2cc(-c3ccc(C[C@H](N)C(=O)N4CCC[C@H]4C#N)cc3)nn2)c1.Cl;310;Inactive
CHEMBL2069849;COc1cccc2cc(C(=O)N3CCN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CC3)oc12;318;Inactive
CHEMBL191775;CC[C@@H](C)[C@H](N)C(=O)N1CCSC1;320;Inactive
CHEMBL3357775;CC(=O)NC[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;320;Inactive
CHEMBL5402378;CC(C)CCNC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;330;Inactive
CHEMBL3330060;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;330;Inactive
CHEMBL2418631;COc1ccc(Cn2cc(-c3ccc(C[C@H](N)C(=O)N4CCC[C@H]4C#N)cc3)nn2)cc1.Cl;330;Inactive
CHEMBL201268;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1;330;Inactive
CHEMBL2147712;Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(F)c2)n1;330;Inactive
CHEMBL2418624;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccccc3F)nn2)cc1;340;Inactive
CHEMBL2418628;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccc(Cl)cc3)nn2)cc1;340;Inactive
CHEMBL520434;N#Cc1c(F)cc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1F;343;Inactive
CHEMBL519265;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)nc1;350;Inactive
CHEMBL562467;N[C@@H](CC(=O)N1CCC[C@H]1CNc1ccc(C(F)(F)F)nc1)Cc1cc(F)c(F)cc1F;350;Inactive
CHEMBL2417563;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3cccc(Cl)c3)nn2)cc1;350;Inactive
CHEMBL5399929;O=C(CNC12CC3CC(C1)CC(OC(=O)N1CCNCC1)(C3)C2)N1Cc2ccccc2C1;350;Inactive
CHEMBL2418625;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3cccc(F)c3)nn2)cc1;360;Inactive
CHEMBL5427056;CC(C)(C)COC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;400;Inactive
CHEMBL373319;CCCC[C@@H](NC(=O)[C@@H](N)CCCN)B(O)O;400;Inactive
CHEMBL5410346;CCC(C)(C)NC(=O)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;400;Inactive
CHEMBL5403301;O=C(NCCF)OC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;410;Inactive
CHEMBL1243373;O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12;420;Inactive
CHEMBL479380;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;421;Inactive
CHEMBL2069855;Cn1c(C(=O)N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc2ccccc21;427;Inactive
CHEMBL1082653;CO[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;430;Inactive
CHEMBL2418632;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccc(F)c(F)c3)nn2)cc1;440;Inactive
CHEMBL2418626;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1;440;Inactive
CHEMBL479983;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3nccs3)C[C@@H]21;448;Inactive
CHEMBL2418639;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3cccs3)nn2)cc1;450;Inactive
CHEMBL183418;CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F;450;Inactive
CHEMBL559602;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)CC(F)(F)F)Cc1cc(F)c(F)cc1F;470;Inactive
CHEMBL2069853;N[C@@H](CC(=O)N1CCN(C(=O)c2cc(O)c3cccc(O)c3n2)CC1)Cc1cc(F)c(F)cc1F;471;Inactive
CHEMBL5414516;CCCCNC12CC3CC(C1)CC(NCC(=O)N1Cc4ccccc4C1)(C3)C2;480;Inactive
CHEMBL5440616;CCCCOC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;489;Inactive
CHEMBL488226;NCCCC[C@H](N)C(=O)N1Cc2ccccc2C1;500;Inactive
CHEMBL488226;NCCCC[C@H](N)C(=O)N1Cc2ccccc2C1;500;Inactive
CHEMBL5425364;O=C(CC12CC3CC(CC(O)(C3)C1)C2)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;500;Inactive
CHEMBL389244;O=C([C@@H]1C[C@H](N2CCc3ccccc32)CN1)N1CCSC1;501.1;Inactive
CHEMBL194250;CCCC[C@@H](NC(=O)[C@@H](N)C(C)C)B(O)O;510;Inactive
CHEMBL223914;O=C([C@@H]1C[C@H](N2CCc3cc(F)ccc32)CN1)N1CCSC1;518.9;Inactive
CHEMBL1243184;O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1;520;Inactive
CHEMBL480705;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3ncccc3[N+](=O)[O-])C[C@@H]21;525;Inactive
CHEMBL466590;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccc(F)cc2C1;540;Inactive
CHEMBL2147777;Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1;540;Inactive
CHEMBL480536;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3nc4ccccc4s3)C[C@@H]21;547;Inactive
CHEMBL2418629;COc1ccccc1Cn1cc(-c2ccc(C[C@H](N)C(=O)N3CCC[C@H]3C#N)cc2)nn1.Cl;550;Inactive
CHEMBL1682974;N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1;570;Inactive
CHEMBL2418634;COc1ccc(Cn2cc(-c3ccc(C[C@H](N)C(=O)N4CCC[C@H]4C#N)cc3)nn2)cc1OC.Cl;600;Inactive
CHEMBL2147771;Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccn2)n1;610;Inactive
CHEMBL2418637;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(CCc3ccccc3)nn2)cc1;620;Inactive
CHEMBL3330052;N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1cccc(F)c1;620;Inactive
CHEMBL2418636;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccccc3)nn2)cc1;630;Inactive
CHEMBL480154;CCOC(=O)c1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;640;Inactive
CHEMBL2333023;O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccnc1;650;Inactive
CHEMBL2069858;N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(-c3ccc(F)cc3)n2)CC1)Cc1cc(F)c(F)cc1F;658;Inactive
CHEMBL4296719;O=C(CN[C@@H]1CCNC1)N1CCC[C@H]1B(O)O;663;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;680;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;680;Inactive
CHEMBL388111;COc1ccc2c(c1)CCN2[C@@H]1CN[C@H](C(=O)N2CCSC2)C1;710.7;Inactive
CHEMBL471960;N#Cc1ccccc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;729;Inactive
CHEMBL223497;N#Cc1ccc(CN[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1;748.7;Inactive
CHEMBL480914;CC(=O)c1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;771;Inactive
CHEMBL194354;CCCC[C@@H](NC(=O)[C@@H](N)CCN)B(O)O;800;Inactive
CHEMBL398076;CCCC[C@H](NC(=O)[C@@H](N)CCN)B(O)O;800;Inactive
CHEMBL481290;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1Cl;807;Inactive
CHEMBL3093913;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1F;870;Inactive
CHEMBL3330070;N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1ccc(Cl)cc1Cl;880;Inactive
CHEMBL558452;CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)S(=O)(=O)C(F)(F)F;880;Inactive
CHEMBL2069856;N[C@@H](CC(=O)N1CCN(C(=O)c2cc3ccccc3o2)CC1)Cc1cc(F)c(F)cc1F;885;Inactive
CHEMBL584494;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(-c2ccccn2)no1)Cc1cc(F)c(F)cc1F;910;Inactive
CHEMBL5397234;NC12CC3CC(C1)CC(NCC(=O)N1Cc4ccccc4C1)(C3)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;910;Inactive
CHEMBL2206469;N[C@@H](CC(=O)NC1(c2cccc(-c3cncs3)c2)CCS(=O)(=O)CC1)Cc1cc(F)c(F)cc1F;940;Inactive
CHEMBL552127;CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)c1ccc(C#N)cn1;990;Inactive
